EncounterType,HospitalCounty,OSHPD_ID,FacilityName,System,Ownership,Urban_Rural,Teaching,LicensedBedSize,PrimaryCareShortageArea,MentalHealthShortageArea,HomelessIndicator,Demographic,DemographicValue,Encounters,TotalEncounters,Percent
ED Visits,Orange,301279,University of California Irvine Medical Center,University Of California,Government,Urban,Teaching,400+,Yes,No,Homeless,Sex,Female,544,2186,24.9
ED Visits,Orange,301279,University of California Irvine Medical Center,University Of California,Government,Urban,Teaching,400+,Yes,No,Homeless,Sex,Male,1642,2186,75.1
ED Visits,Orange,301283,Garden Grove Hospital and Medical Center,Prime Healthcare Services,Investor,Urban,Non-Teaching,100-199,Yes,No,Homeless,Sex,Female,370,1587,23.3
ED Visits,Orange,301283,Garden Grove Hospital and Medical Center,Prime Healthcare Services,Investor,Urban,Non-Teaching,100-199,Yes,No,Homeless,Sex,Male,1217,1587,76.7
ED Visits,Orange,301297,Placentia Linda Hospital,Tenet Healthcare Corporation,Investor,Urban,Non-Teaching,100-199,No,No,Homeless,Sex,Female,183,642,28.5
ED Visits,Orange,301297,Placentia Linda Hospital,Tenet Healthcare Corporation,Investor,Urban,Non-Teaching,100-199,No,No,Homeless,Sex,Male,459,642,71.5
ED Visits,Orange,301317,MemorialCare Saddleback Medical Center,Memorialcare,Non-Profit,Urban,Non-Teaching,200-299,No,No,Homeless,Sex,Female,218,673,32.4
ED Visits,Orange,301317,MemorialCare Saddleback Medical Center,Memorialcare,Non-Profit,Urban,Non-Teaching,200-299,No,No,Homeless,Sex,Male,455,673,67.6
ED Visits,Orange,301337,Providence Mission Hospital - Laguna Beach,Providence St. Joseph Health,Non-Profit,Urban,Non-Teaching,100-199,No,No,Homeless,Sex,Female,331,1245,26.6
ED Visits,Orange,301337,Providence Mission Hospital - Laguna Beach,Providence St. Joseph Health,Non-Profit,Urban,Non-Teaching,100-199,No,No,Homeless,Sex,Male,914,1245,73.4
ED Visits,Orange,301340,Providence St. Joseph Hospital,Providence St. Joseph Health,Non-Profit,Urban,Non-Teaching,400+,No,No,Homeless,Sex,Female,1226,4217,29.1
ED Visits,Orange,301340,Providence St. Joseph Hospital,Providence St. Joseph Health,Non-Profit,Urban,Non-Teaching,400+,No,No,Homeless,Sex,Male,2991,4217,70.9
ED Visits,Orange,301342,Providence St. Jude Medical Center,Providence St. Joseph Health,Non-Profit,Urban,Non-Teaching,300-399,No,No,Homeless,Sex,Female,661,2431,27.2
ED Visits,Orange,301342,Providence St. Jude Medical Center,Providence St. Joseph Health,Non-Profit,Urban,Non-Teaching,300-399,No,No,Homeless,Sex,Male,1770,2431,72.8
ED Visits,Orange,301357,Foothill Regional Medical Center,ALTA Hospitals System,Investor,Urban,Non-Teaching,100-199,No,No,Homeless,Sex,Female,150,482,31.1
ED Visits,Orange,301357,Foothill Regional Medical Center,ALTA Hospitals System,Investor,Urban,Non-Teaching,100-199,No,No,Homeless,Sex,Male,332,482,68.9
ED Visits,Orange,301379,West Anaheim Medical Center,Prime Healthcare Services,Investor,Urban,Non-Teaching,200-299,Yes,No,Homeless,Sex,Female,555,1684,33
ED Visits,Orange,301379,West Anaheim Medical Center,Prime Healthcare Services,Investor,Urban,Non-Teaching,200-299,Yes,No,Homeless,Sex,Male,1129,1684,67
ED Visits,Orange,301566,Orange County Global Medical Center,"KPC Healthcare, Inc.",Investor,Urban,Non-Teaching,200-299,No,No,Homeless,Sex,Female,604,2141,28.2
ED Visits,Orange,301566,Orange County Global Medical Center,"KPC Healthcare, Inc.",Investor,Urban,Non-Teaching,200-299,No,No,Homeless,Sex,Male,1537,2141,71.8
ED Visits,Orange,304113,Children's Hospital at Mission,N/A,Non-Profit,Urban,Non-Teaching,1-99,No,No,Homeless,Sex,Female,3,4,75
ED Visits,Orange,304113,Children's Hospital at Mission,N/A,Non-Profit,Urban,Non-Teaching,1-99,No,No,Homeless,Sex,Male,1,4,25
ED Visits,Orange,304409,Kaiser Foundation Hospital - Orange County - Anaheim,Kaiser Foundation Hospitals,Non-Profit,Urban,Non-Teaching,200-299,No,No,Homeless,Sex,Female,785,2278,34.5
ED Visits,Orange,304409,Kaiser Foundation Hospital - Orange County - Anaheim,Kaiser Foundation Hospitals,Non-Profit,Urban,Non-Teaching,200-299,No,No,Homeless,Sex,Male,1493,2278,65.5
ED Visits,Placer,310791,Sutter Auburn Faith Hospital,Sutter Health,Non-Profit,Urban,Non-Teaching,1-99,No,Yes,Homeless,Sex,Female,431,1237,34.8
ED Visits,Placer,310791,Sutter Auburn Faith Hospital,Sutter Health,Non-Profit,Urban,Non-Teaching,1-99,No,Yes,Homeless,Sex,Male,806,1237,65.2
ED Visits,Placer,311000,Sutter Roseville Medical Center,Sutter Health,Non-Profit,Urban,Non-Teaching,300-399,No,No,Homeless,Sex,Female,549,1574,34.9
ED Visits,Placer,311000,Sutter Roseville Medical Center,Sutter Health,Non-Profit,Urban,Non-Teaching,300-399,No,No,Homeless,Sex,Male,1025,1574,65.1
ED Visits,Placer,314024,Kaiser Foundation Hospital - Roseville,Kaiser Foundation Hospitals,Non-Profit,Urban,Non-Teaching,300-399,No,No,Homeless,Sex,Female,282,819,34.4
ED Visits,Placer,314024,Kaiser Foundation Hospital - Roseville,Kaiser Foundation Hospitals,Non-Profit,Urban,Non-Teaching,300-399,No,No,Homeless,Sex,Male,537,819,65.6
ED Visits,Plumas,320859,Eastern Plumas Hospital-Portola Campus,N/A,Government,Rural/Frontier,Non-Teaching,1-99,Yes,Yes,Homeless,Sex,Female,2,9,22.2
ED Visits,Plumas,320859,Eastern Plumas Hospital-Portola Campus,N/A,Government,Rural/Frontier,Non-Teaching,1-99,Yes,Yes,Homeless,Sex,Male,7,9,77.8
ED Visits,Plumas,320986,Plumas District Hospital,N/A,Government,Rural/Frontier,Non-Teaching,1-99,No,Yes,Homeless,Sex,Female,2,2,100
ED Visits,Plumas,320986,Plumas District Hospital,N/A,Government,Rural/Frontier,Non-Teaching,1-99,No,Yes,Homeless,Sex,Male,0,2,0
ED Visits,Plumas,321016,Seneca District Hospital,N/A,Government,Rural/Frontier,Non-Teaching,1-99,Yes,Yes,Homeless,Sex,Female,1,7,14.3
ED Visits,Plumas,321016,Seneca District Hospital,N/A,Government,Rural/Frontier,Non-Teaching,1-99,Yes,Yes,Homeless,Sex,Male,6,7,85.7
ED Visits,Riverside,331152,Corona Regional Medical Center-Main,"Universal Health Services, Inc.",Investor,Urban,Non-Teaching,100-199,No,Yes,Homeless,Sex,Female,308,1312,23.5
ED Visits,Riverside,331152,Corona Regional Medical Center-Main,"Universal Health Services, Inc.",Investor,Urban,Non-Teaching,100-199,No,Yes,Homeless,Sex,Male,1004,1312,76.5
ED Visits,Riverside,331164,Desert Regional Medical Center,Tenet Healthcare Corporation,Investor,Urban,Non-Teaching,300-399,No,Yes,Homeless,Sex,Female,190,897,21.2
ED Visits,Riverside,331164,Desert Regional Medical Center,Tenet Healthcare Corporation,Investor,Urban,Non-Teaching,300-399,No,Yes,Homeless,Sex,Male,707,897,78.8
ED Visits,Riverside,331168,Eisenhower Medical Center,N/A,Non-Profit,Urban,Non-Teaching,400+,No,No,Homeless,Sex,Female,324,1159,28
ED Visits,Riverside,331168,Eisenhower Medical Center,N/A,Non-Profit,Urban,Non-Teaching,400+,No,No,Homeless,Sex,Male,835,1159,72
ED Visits,Riverside,331194,Hemet Global Medical Center,"KPC Healthcare, Inc.",Investor,Urban,Non-Teaching,300-399,Yes,Yes,Homeless,Sex,Female,828,2234,37.1
ED Visits,Riverside,331194,Hemet Global Medical Center,"KPC Healthcare, Inc.",Investor,Urban,Non-Teaching,300-399,Yes,Yes,Homeless,Sex,Male,1406,2234,62.9
ED Visits,Riverside,331216,John F. Kennedy Memorial Hospital,Tenet Healthcare Corporation,Investor,Urban,Non-Teaching,100-199,No,Yes,Homeless,Sex,Female,279,1094,25.5
ED Visits,Riverside,331216,John F. Kennedy Memorial Hospital,Tenet Healthcare Corporation,Investor,Urban,Non-Teaching,100-199,No,Yes,Homeless,Sex,Male,815,1094,74.5
ED Visits,Riverside,331288,Palo Verde Hospital,N/A,Government,Rural/Frontier,Non-Teaching,1-99,Yes,Yes,Homeless,Sex,Female,75,313,24
ED Visits,Riverside,331288,Palo Verde Hospital,N/A,Government,Rural/Frontier,Non-Teaching,1-99,Yes,Yes,Homeless,Sex,Male,238,313,76
ED Visits,Riverside,331293,Doctors Hospital of Riverside,N/A,Investor,Urban,Non-Teaching,100-199,No,Yes,Homeless,Sex,Female,803,2387,33.6
ED Visits,Riverside,331293,Doctors Hospital of Riverside,N/A,Investor,Urban,Non-Teaching,100-199,No,Yes,Homeless,Sex,Male,1584,2387,66.4
ED Visits,Riverside,331312,Riverside Community Hospital,HCA Healthcare Corporation,Investor,Urban,Non-Teaching,400+,Yes,Yes,Homeless,Sex,Female,1542,4417,34.9
ED Visits,Riverside,331312,Riverside Community Hospital,HCA Healthcare Corporation,Investor,Urban,Non-Teaching,400+,Yes,Yes,Homeless,Sex,Male,2875,4417,65.1
ED Visits,Riverside,331326,San Gorgonio Memorial Hospital,N/A,Government,Urban,Non-Teaching,1-99,No,Yes,Homeless,Sex,Female,329,1095,30
ED Visits,Riverside,331326,San Gorgonio Memorial Hospital,N/A,Government,Urban,Non-Teaching,1-99,No,Yes,Homeless,Sex,Male,766,1095,70
ED Visits,Riverside,334018,Menifee Global Medical Center,"KPC Healthcare, Inc.",Investor,Urban,Non-Teaching,1-99,Yes,No,Homeless,Sex,Female,120,390,30.8
ED Visits,Riverside,334018,Menifee Global Medical Center,"KPC Healthcare, Inc.",Investor,Urban,Non-Teaching,1-99,Yes,No,Homeless,Sex,Male,270,390,69.2
ED Visits,Riverside,334025,Kaiser Foundation Hospital - Riverside,Kaiser Foundation Hospitals,Non-Profit,Urban,Non-Teaching,200-299,No,Yes,Homeless,Sex,Female,533,1796,29.7
ED Visits,Riverside,334025,Kaiser Foundation Hospital - Riverside,Kaiser Foundation Hospitals,Non-Profit,Urban,Non-Teaching,200-299,No,Yes,Homeless,Sex,Male,1263,1796,70.3
ED Visits,Riverside,334048,Kaiser Foundation Hospital - Moreno Valley,Kaiser Foundation Hospitals,Non-Profit,Urban,Non-Teaching,1-99,No,Yes,Homeless,Sex,Female,67,251,26.7
ED Visits,Riverside,334048,Kaiser Foundation Hospital - Moreno Valley,Kaiser Foundation Hospitals,Non-Profit,Urban,Non-Teaching,1-99,No,Yes,Homeless,Sex,Male,184,251,73.3
ED Visits,Riverside,334068,Southwest Healthcare System-Murrieta,"Universal Health Services, Inc.",Investor,Urban,Non-Teaching,100-199,No,Yes,Homeless,Sex,Female,284,972,29.2
ED Visits,Riverside,334068,Southwest Healthcare System-Murrieta,"Universal Health Services, Inc.",Investor,Urban,Non-Teaching,100-199,No,Yes,Homeless,Sex,Male,688,972,70.8
ED Visits,Riverside,334487,Riverside University Health System - Medical Center,N/A,Government,Urban,Teaching,300-399,No,Yes,Homeless,Sex,Female,783,2625,29.8
ED Visits,Riverside,334487,Riverside University Health System - Medical Center,N/A,Government,Urban,Teaching,300-399,No,Yes,Homeless,Sex,Male,1842,2625,70.2
ED Visits,Riverside,334564,Temecula Valley Hospital,"Universal Health Services, Inc.",Investor,Urban,Non-Teaching,100-199,No,No,Homeless,Sex,Female,124,419,29.6
ED Visits,Riverside,334564,Temecula Valley Hospital,"Universal Health Services, Inc.",Investor,Urban,Non-Teaching,100-199,No,No,Homeless,Sex,Male,295,419,70.4
ED Visits,Riverside,334589,Loma Linda University Medical Center-Murrieta,Loma Linda University,Non-Profit,Urban,Non-Teaching,100-199,No,Yes,Homeless,Sex,Female,75,205,36.6
ED Visits,Riverside,334589,Loma Linda University Medical Center-Murrieta,Loma Linda University,Non-Profit,Urban,Non-Teaching,100-199,No,Yes,Homeless,Sex,Male,130,205,63.4
ED Visits,Sacramento,340913,Kaiser Foundation Hospital - Sacramento,Kaiser Foundation Hospitals,Non-Profit,Urban,Non-Teaching,200-299,No,No,Homeless,Sex,Female,1806,5567,32.4
ED Visits,Sacramento,340913,Kaiser Foundation Hospital - Sacramento,Kaiser Foundation Hospitals,Non-Profit,Urban,Non-Teaching,200-299,No,No,Homeless,Sex,Male,3761,5567,67.6
ED Visits,Sacramento,340947,Mercy General Hospital,Dignity Health,Non-Profit,Urban,Non-Teaching,300-399,No,No,Homeless,Sex,Female,618,1891,32.7
ED Visits,Sacramento,340947,Mercy General Hospital,Dignity Health,Non-Profit,Urban,Non-Teaching,300-399,No,No,Homeless,Sex,Male,1273,1891,67.3
ED Visits,Sacramento,340950,Mercy San Juan Medical Center,Dignity Health,Non-Profit,Urban,Non-Teaching,300-399,No,No,Homeless,Sex,Female,1064,3143,33.9
ED Visits,Sacramento,340950,Mercy San Juan Medical Center,Dignity Health,Non-Profit,Urban,Non-Teaching,300-399,No,No,Homeless,Sex,Male,2079,3143,66.1
ED Visits,Sacramento,340951,Methodist Hospital of Sacramento,Dignity Health,Non-Profit,Urban,Non-Teaching,300-399,No,No,Homeless,Sex,Female,500,1360,36.8
ED Visits,Sacramento,340951,Methodist Hospital of Sacramento,Dignity Health,Non-Profit,Urban,Non-Teaching,300-399,No,No,Homeless,Sex,Male,860,1360,63.2
ED Visits,Sacramento,341006,University of California Davis Medical Center,University Of California,Government,Urban,Teaching,400+,No,No,Homeless,Sex,Female,1040,3339,31.1
ED Visits,Sacramento,341006,University of California Davis Medical Center,University Of California,Government,Urban,Teaching,400+,No,No,Homeless,Sex,Male,2299,3339,68.9
ED Visits,Sacramento,341051,"Sutter Medical Center, Sacramento",Sutter Health,Non-Profit,Urban,Non-Teaching,400+,No,No,Homeless,Sex,Female,3821,12049,31.7
ED Visits,Sacramento,341051,"Sutter Medical Center, Sacramento",Sutter Health,Non-Profit,Urban,Non-Teaching,400+,No,No,Homeless,Sex,Male,8228,12049,68.3
ED Visits,Sacramento,342344,Kaiser Foundation Hospital - South Sacramento,Kaiser Foundation Hospitals,Non-Profit,Urban,Non-Teaching,200-299,No,No,Homeless,Sex,Female,928,2762,33.6
ED Visits,Sacramento,342344,Kaiser Foundation Hospital - South Sacramento,Kaiser Foundation Hospitals,Non-Profit,Urban,Non-Teaching,200-299,No,No,Homeless,Sex,Male,1834,2762,66.4
ED Visits,Sacramento,344029,Mercy Hospital of Folsom,Dignity Health,Non-Profit,Urban,Non-Teaching,100-199,No,No,Homeless,Sex,Female,198,699,28.3
ED Visits,Sacramento,344029,Mercy Hospital of Folsom,Dignity Health,Non-Profit,Urban,Non-Teaching,100-199,No,No,Homeless,Sex,Male,501,699,71.7
ED Visits,San Benito,350784,Hazel Hawkins Memorial Hospital,N/A,Government,Rural/Frontier,Non-Teaching,1-99,Yes,No,Homeless,Sex,Female,143,476,30
ED Visits,San Benito,350784,Hazel Hawkins Memorial Hospital,N/A,Government,Rural/Frontier,Non-Teaching,1-99,Yes,No,Homeless,Sex,Male,333,476,70
ED Visits,San Bernardino,361110,Bear Valley Community Hospital,N/A,Government,Rural/Frontier,Non-Teaching,1-99,Yes,Yes,Homeless,Sex,Female,13,45,28.9
ED Visits,San Bernardino,361110,Bear Valley Community Hospital,N/A,Government,Rural/Frontier,Non-Teaching,1-99,Yes,Yes,Homeless,Sex,Male,32,45,71.1
ED Visits,San Bernardino,361144,Chino Valley Medical Center,Prime Healthcare Services,Investor,Urban,Non-Teaching,100-199,No,No,Homeless,Sex,Female,231,1080,21.4
ED Visits,San Bernardino,361144,Chino Valley Medical Center,Prime Healthcare Services,Investor,Urban,Non-Teaching,100-199,No,No,Homeless,Sex,Male,849,1080,78.6
ED Visits,San Bernardino,361166,Montclair Hospital Medical Center,Prime Healthcare Services,Investor,Urban,Non-Teaching,100-199,No,Yes,Homeless,Sex,Female,159,572,27.8
ED Visits,San Bernardino,361166,Montclair Hospital Medical Center,Prime Healthcare Services,Investor,Urban,Non-Teaching,100-199,No,Yes,Homeless,Sex,Male,413,572,72.2
ED Visits,San Bernardino,361223,Kaiser Foundation Hospital - Fontana,Kaiser Foundation Hospitals,Non-Profit,Urban,Non-Teaching,400+,Yes,No,Homeless,Sex,Female,1053,4386,24
ED Visits,San Bernardino,361223,Kaiser Foundation Hospital - Fontana,Kaiser Foundation Hospitals,Non-Profit,Urban,Non-Teaching,400+,Yes,No,Homeless,Sex,Male,3333,4386,76
ED Visits,San Bernardino,361246,Loma Linda University Medical Center,Loma Linda University,Non-Profit,Urban,Teaching,300-399,No,No,Homeless,Sex,Female,558,1919,29.1
ED Visits,San Bernardino,361246,Loma Linda University Medical Center,Loma Linda University,Non-Profit,Urban,Teaching,300-399,No,No,Homeless,Sex,Male,1361,1919,70.9
ED Visits,San Bernardino,361266,Mountains Community Hospital,N/A,Government,Rural/Frontier,Non-Teaching,1-99,Yes,Yes,Homeless,Sex,Female,15,30,50
ED Visits,San Bernardino,361266,Mountains Community Hospital,N/A,Government,Rural/Frontier,Non-Teaching,1-99,Yes,Yes,Homeless,Sex,Male,15,30,50
ED Visits,San Bernardino,361308,Redlands Community Hospital,N/A,Non-Profit,Urban,Non-Teaching,200-299,No,No,Homeless,Sex,Female,453,1551,29.2
ED Visits,San Bernardino,361308,Redlands Community Hospital,N/A,Non-Profit,Urban,Non-Teaching,200-299,No,No,Homeless,Sex,Male,1098,1551,70.8
ED Visits,San Bernardino,361318,San Antonio Regional Hospital,N/A,Non-Profit,Urban,Non-Teaching,300-399,No,Yes,Homeless,Sex,Female,440,1613,27.3
ED Visits,San Bernardino,361318,San Antonio Regional Hospital,N/A,Non-Profit,Urban,Non-Teaching,300-399,No,Yes,Homeless,Sex,Male,1173,1613,72.7
ED Visits,San Bernardino,361323,Community Hospital of San Bernardino,Dignity Health,Non-Profit,Urban,Non-Teaching,300-399,No,Yes,Homeless,Sex,Female,1082,3354,32.3
ED Visits,San Bernardino,361323,Community Hospital of San Bernardino,Dignity Health,Non-Profit,Urban,Non-Teaching,300-399,No,Yes,Homeless,Sex,Male,2272,3354,67.7
ED Visits,San Bernardino,361339,St. Bernardine Medical Center,Dignity Health,Non-Profit,Urban,Non-Teaching,300-399,No,Yes,Homeless,Sex,Female,1706,5197,32.8
ED Visits,San Bernardino,361339,St. Bernardine Medical Center,Dignity Health,Non-Profit,Urban,Non-Teaching,300-399,No,Yes,Homeless,Sex,Male,3491,5197,67.2
ED Visits,San Bernardino,361343,St. Mary Medical Center - Apple Valley,Providence St. Joseph Health,Non-Profit,Urban,Non-Teaching,200-299,No,Yes,Homeless,Sex,Female,394,1216,32.4
ED Visits,San Bernardino,361343,St. Mary Medical Center - Apple Valley,Providence St. Joseph Health,Non-Profit,Urban,Non-Teaching,200-299,No,Yes,Homeless,Sex,Male,822,1216,67.6
ED Visits,San Bernardino,361370,Victor Valley Global Medical Center,"KPC Healthcare, Inc.",Investor,Urban,Non-Teaching,100-199,Yes,Yes,Homeless,Sex,Female,661,2147,30.8
ED Visits,San Bernardino,361370,Victor Valley Global Medical Center,"KPC Healthcare, Inc.",Investor,Urban,Non-Teaching,100-199,Yes,Yes,Homeless,Sex,Male,1486,2147,69.2
ED Visits,San Bernardino,361458,Colorado River Medical Center,N/A,Non-Profit,Rural/Frontier,Non-Teaching,1-99,Yes,Yes,Homeless,Sex,Female,9,44,20.5
ED Visits,San Bernardino,361458,Colorado River Medical Center,N/A,Non-Profit,Rural/Frontier,Non-Teaching,1-99,Yes,Yes,Homeless,Sex,Male,35,44,79.5
ED Visits,San Bernardino,362041,Hi-Desert Medical Center,Tenet Healthcare Corporation,Investor,Rural/Frontier,Non-Teaching,100-199,Yes,Yes,Homeless,Sex,Female,85,232,36.6
ED Visits,San Bernardino,362041,Hi-Desert Medical Center,Tenet Healthcare Corporation,Investor,Rural/Frontier,Non-Teaching,100-199,Yes,Yes,Homeless,Sex,Male,147,232,63.4
ED Visits,San Bernardino,364144,Desert Valley Hospital,Prime Healthcare Services,Investor,Urban,Non-Teaching,100-199,Yes,Yes,Homeless,Sex,Female,171,544,31.4
ED Visits,San Bernardino,364144,Desert Valley Hospital,Prime Healthcare Services,Investor,Urban,Non-Teaching,100-199,Yes,Yes,Homeless,Sex,Male,373,544,68.6
ED Visits,San Bernardino,364231,Arrowhead Regional Medical Center,N/A,Government,Urban,Teaching,400+,Yes,No,Homeless,Sex,Female,778,2967,26.2
ED Visits,San Bernardino,364231,Arrowhead Regional Medical Center,N/A,Government,Urban,Teaching,400+,Yes,No,Homeless,Sex,Male,2189,2967,73.8
ED Visits,San Bernardino,364430,Barstow Community Hospital,N/A,Investor,Rural/Frontier,Non-Teaching,1-99,Yes,Yes,Homeless,Sex,Female,15,59,25.4
ED Visits,San Bernardino,364430,Barstow Community Hospital,N/A,Investor,Rural/Frontier,Non-Teaching,1-99,Yes,Yes,Homeless,Sex,Male,44,59,74.6
ED Visits,San Diego,370652,Alvarado Hospital Medical Center,Prime Healthcare Services,Investor,Urban,Non-Teaching,200-299,No,No,Homeless,Sex,Female,230,725,31.7
ED Visits,San Diego,370652,Alvarado Hospital Medical Center,Prime Healthcare Services,Investor,Urban,Non-Teaching,200-299,No,No,Homeless,Sex,Male,495,725,68.3
ED Visits,San Diego,370673,Rady Children's Hospital - San Diego,N/A,Non-Profit,Urban,Non-Teaching,400+,No,No,Homeless,Sex,Female,57,149,38.3
ED Visits,San Diego,370673,Rady Children's Hospital - San Diego,N/A,Non-Profit,Urban,Non-Teaching,400+,No,No,Homeless,Sex,Male,92,149,61.7
ED Visits,San Diego,370689,Sharp Coronado Hospital and Healthcare Center,Sharp Healthcare,Non-Profit,Urban,Non-Teaching,1-99,No,Yes,Homeless,Sex,Female,250,1027,24.3
ED Visits,San Diego,370689,Sharp Coronado Hospital and Healthcare Center,Sharp Healthcare,Non-Profit,Urban,Non-Teaching,1-99,No,Yes,Homeless,Sex,Male,777,1027,75.7
ED Visits,San Diego,370694,Sharp Memorial Hospital,Sharp Healthcare,Non-Profit,Urban,Non-Teaching,400+,No,No,Homeless,Sex,Female,1432,5313,27
ED Visits,San Diego,370694,Sharp Memorial Hospital,Sharp Healthcare,Non-Profit,Urban,Non-Teaching,400+,No,No,Homeless,Sex,Male,3881,5313,73
ED Visits,San Diego,370714,Grossmont Hospital,Sharp Healthcare,Non-Profit,Urban,Non-Teaching,400+,No,Yes,Homeless,Sex,Female,2880,8918,32.3
ED Visits,San Diego,370714,Grossmont Hospital,Sharp Healthcare,Non-Profit,Urban,Non-Teaching,400+,No,Yes,Homeless,Sex,Male,6038,8918,67.7
ED Visits,San Diego,370730,Kaiser Foundation Hospital - San Diego - Zion,Kaiser Foundation Hospitals,Non-Profit,Urban,Non-Teaching,300-399,No,No,Homeless,Sex,Female,454,1840,24.7
ED Visits,San Diego,370730,Kaiser Foundation Hospital - San Diego - Zion,Kaiser Foundation Hospitals,Non-Profit,Urban,Non-Teaching,300-399,No,No,Homeless,Sex,Male,1386,1840,75.3
ED Visits,San Diego,370744,Scripps Mercy Hospital,Scripps Health,Non-Profit,Urban,Teaching,400+,No,No,Homeless,Sex,Female,6822,25373,26.9
ED Visits,San Diego,370744,Scripps Mercy Hospital,Scripps Health,Non-Profit,Urban,Teaching,400+,No,No,Homeless,Sex,Male,18551,25373,73.1
ED Visits,San Diego,370755,Palomar Health Downtown Campus,N/A,Government,Urban,Non-Teaching,100-199,No,Yes,Homeless,Sex,Female,1284,4176,30.7
ED Visits,San Diego,370755,Palomar Health Downtown Campus,N/A,Government,Urban,Non-Teaching,100-199,No,Yes,Homeless,Sex,Male,2892,4176,69.3
ED Visits,San Diego,370759,Paradise Valley Hospital,Prime Healthcare Services,Investor,Urban,Non-Teaching,200-299,Yes,Yes,Homeless,Sex,Female,338,1131,29.9
ED Visits,San Diego,370759,Paradise Valley Hospital,Prime Healthcare Services,Investor,Urban,Non-Teaching,200-299,Yes,Yes,Homeless,Sex,Male,793,1131,70.1
ED Visits,San Diego,370771,Scripps Memorial Hospital - La Jolla,Scripps Health,Non-Profit,Urban,Non-Teaching,400+,No,No,Homeless,Sex,Female,636,2226,28.6
ED Visits,San Diego,370771,Scripps Memorial Hospital - La Jolla,Scripps Health,Non-Profit,Urban,Non-Teaching,400+,No,No,Homeless,Sex,Male,1590,2226,71.4
ED Visits,San Diego,370780,Tri-City Medical Center,N/A,Government,Urban,Non-Teaching,300-399,No,No,Homeless,Sex,Female,765,2855,26.8
ED Visits,San Diego,370780,Tri-City Medical Center,N/A,Government,Urban,Non-Teaching,300-399,No,No,Homeless,Sex,Male,2090,2855,73.2
ED Visits,San Diego,370782,UC San Diego Health Hillcrest - Hillcrest Medical Center,University Of California,Government,Urban,Teaching,300-399,No,No,Homeless,Sex,Female,4261,16511,25.8
ED Visits,San Diego,370782,UC San Diego Health Hillcrest - Hillcrest Medical Center,University Of California,Government,Urban,Teaching,300-399,No,No,Homeless,Sex,Male,12250,16511,74.2
ED Visits,San Diego,370875,Sharp Chula Vista Medical Center,Sharp Healthcare,Non-Profit,Urban,Non-Teaching,400+,No,No,Homeless,Sex,Female,558,1837,30.4
ED Visits,San Diego,370875,Sharp Chula Vista Medical Center,Sharp Healthcare,Non-Profit,Urban,Non-Teaching,400+,No,No,Homeless,Sex,Male,1279,1837,69.6
ED Visits,San Diego,370977,Palomar Medical Center Poway,N/A,Government,Urban,Non-Teaching,200-299,No,No,Homeless,Sex,Female,191,673,28.4
ED Visits,San Diego,370977,Palomar Medical Center Poway,N/A,Government,Urban,Non-Teaching,200-299,No,No,Homeless,Sex,Male,482,673,71.6
ED Visits,San Diego,371394,Scripps Memorial Hospital - Encinitas,Scripps Health,Non-Profit,Urban,Non-Teaching,100-199,No,No,Homeless,Sex,Female,493,1909,25.8
ED Visits,San Diego,371394,Scripps Memorial Hospital - Encinitas,Scripps Health,Non-Profit,Urban,Non-Teaching,100-199,No,No,Homeless,Sex,Male,1416,1909,74.2
ED Visits,San Francisco,380857,Kaiser Foundation Hospital - San Francisco,Kaiser Foundation Hospitals,Non-Profit,Urban,Teaching,200-299,No,No,Homeless,Sex,Female,223,1006,22.2
ED Visits,San Francisco,380857,Kaiser Foundation Hospital - San Francisco,Kaiser Foundation Hospitals,Non-Profit,Urban,Teaching,200-299,No,No,Homeless,Sex,Male,783,1006,77.8
ED Visits,San Francisco,380929,California Pacific Medical Center - D/P APH,Sutter Health,Non-Profit,Urban,Teaching,1-99,No,No,Homeless,Sex,Female,17,93,18.3
ED Visits,San Francisco,380929,California Pacific Medical Center - D/P APH,Sutter Health,Non-Profit,Urban,Teaching,1-99,No,No,Homeless,Sex,Male,76,93,81.7
ED Visits,San Francisco,380933,California Pacific Medical Center - Davies Campus Hospital,Sutter Health,Non-Profit,Urban,Non-Teaching,100-199,No,No,Homeless,Sex,Female,536,2777,19.3
ED Visits,San Francisco,380933,California Pacific Medical Center - Davies Campus Hospital,Sutter Health,Non-Profit,Urban,Non-Teaching,100-199,No,No,Homeless,Sex,Male,2241,2777,80.7
ED Visits,San Francisco,380939,Priscilla Chan & Mark Zuckerberg San Francisco General Hospital & Trauma Center,N/A,Government,Urban,Teaching,300-399,No,No,Homeless,Sex,Female,5282,24192,21.8
ED Visits,San Francisco,380939,Priscilla Chan & Mark Zuckerberg San Francisco General Hospital & Trauma Center,N/A,Government,Urban,Teaching,300-399,No,No,Homeless,Sex,Male,18910,24192,78.2
ED Visits,San Francisco,380960,St. Francis Memorial Hospital,Dignity Health,Non-Profit,Urban,Non-Teaching,200-299,No,No,Homeless,Sex,Female,2859,12532,22.8
ED Visits,San Francisco,380960,St. Francis Memorial Hospital,Dignity Health,Non-Profit,Urban,Non-Teaching,200-299,No,No,Homeless,Sex,Male,9673,12532,77.2
ED Visits,San Francisco,380965,St. Mary's Medical Center,Dignity Health,Non-Profit,Urban,Teaching,200-299,No,No,Homeless,Sex,Female,1022,4118,24.8
